GDLX,GDLY,GDLZ,GDRX,GDRY,GDRZ,PL,PR,HR,GSR,ConationLevel,PredictedConation,GameState,TimeSinceStart
1.17085789952956E-05,6.19625847946478E-05,7.74541529147654E-05,8.58398054677975E-06,2.66290078357048E-05,9.60620655674839E-05,6.73,5.02,-3.78057540428692,0.0551689484800814,7,0,0,0.384000033140183
2.0388126497548E-05,5.64865611686592E-05,7.98567958219633E-05,8.87429989806617E-06,1.8369922842212E-05,9.79641578690156E-05,6.64,4.95,-3.78057540428692,0.0485376154599253,7,0,0,0.400000035762787
4.20887011581459E-05,3.10611978456624E-05,8.49562916754492E-05,1.05353795998723E-05,2.01811001074344E-05,9.73637676153508E-05,4.57,4.87,-3.78057540428692,0.0485376154599253,7,0,0,0.416000038385391
4.20887011581459E-05,3.10611978456624E-05,8.49562916754492E-05,1.05353795998723E-05,2.01811001074344E-05,9.73637676153508E-05,4.57,4.87,-3.78057540428692,0.0485376154599253,7,0,0,0.432000041007996
4.20887011581459E-05,3.10611978456624E-05,8.49562916754492E-05,6.57141563590837E-06,1.75985175248518E-05,9.82646685162517E-05,4.57,4.81,-3.78057540428692,0.0485376154599253,7,0,0,0.4480000436306
5.35017292179555E-05,1.65168230741808E-05,5.25278604251696E-07,2.66949622402218E-06,8.05205537499457E-07,4.27374563878165E-07,5.25,4.8,-3.78057540428692,-0.117199447418664,7,0,0,0.543999969959259
3.62982954938128E-06,1.4055115752134E-05,9.80972968165284E-05,5.34077002758211E-06,2.06646109787995E-05,9.7719432460277E-05,5.74,5.24,-3.78057540428692,-0.504445207895682,7,0,0,0.815999507904053
2.47616780468936E-05,1.1512141823312E-05,6.8377927008616E-06,5.20180393825026E-05,6.87260573692191E-05,5.11212227878601E-05,5.52,3.18,-3.78057540428692,0.00709129501293071,7,0,0,1.03999924659729
6.9113270103914E-06,1.08431609367218E-05,9.90357062453925E-05,8.30295179690315E-06,1.38620049353018E-05,2.42407700918141E-06,5.75,5.09,-3.78057540428692,0.143074021481724,7,0,0,1.39199995994568
6.9113270103914E-06,1.08431609367218E-05,9.90357062453925E-05,8.30295179690315E-06,1.38620049353018E-05,2.42407700918141E-06,5.75,5.09,-3.78057540428692,0.143074021481724,7,0,0,1.40799999237061
6.9113270103914E-06,1.08431609367218E-05,9.90357062453925E-05,8.30295179690315E-06,1.38620049353018E-05,2.42407700918141E-06,5.75,5.09,-3.78057540428692,0.129874659139765,7,0,0,1.42400002479553
2.56743906711376E-05,2.34722986837496E-05,9.37890996446624E-05,6.84650417897002E-06,2.18307392022421E-05,9.73925228967519E-05,6.34,5.2,-3.78057540428692,0.119800145593773,7,0,0,1.61600041389465
2.56743906711376E-05,2.34722986837496E-05,9.37890996446624E-05,6.84650417897002E-06,2.18307392022421E-05,9.73925228967519E-05,6.34,5.2,-3.78057540428692,0.119800145593773,7,0,0,1.63200044631958
2.38131808847764E-05,4.35453461646121E-05,8.68846117275163E-05,1.26702896395194E-05,2.34217733744541E-05,9.64919375162546E-05,6.21,5.21,-3.78057540428692,0.119800145593773,7,0,0,1.64800047874451
9.3933770232893E-06,4.40848799819196E-05,8.9293402730346E-05,1.65007552977897E-05,2.2967490950137E-05,9.61633017066789E-05,6.1,5.23,-3.78057540428692,0.11249691551261,7,0,0,1.72800064086914
9.3933770232893E-06,4.40848799819196E-05,8.9293402730346E-05,1.65007552977897E-05,2.2967490950137E-05,9.61633017066789E-05,6.1,5.23,-3.78057540428692,0.11249691551261,7,0,0,1.74400067329407
1.18708964498749E-05,1.79849109096908E-05,9.68715840787424E-05,1.4464721177732E-05,2.84359630782875E-05,9.47854499578041E-05,5.73,5.18,-3.78057540428692,-0.503027744524003,7,0,0,2.20800161361694
3.56102295463096E-05,9.904662339323E-06,2.10034667495468E-05,7.80355544884007E-05,1.45725508215558E-05,5.99545972862608E-05,5.53,4.21,-28.9305754042869,0.133473018831891,7,0,0,3.10400342941284
3.56102295463096E-05,9.904662339323E-06,2.10034667495468E-05,7.80355544884007E-05,1.45725508215558E-05,5.99545972862608E-05,5.53,4.21,-28.9305754042869,0.133473018831891,7,0,0,3.12000346183777
6.6228212412995E-07,1.61353726107037E-05,9.80213253904244E-05,6.53224083564869E-07,2.17631274388365E-06,1.12254572717489E-06,6.02,4.57,-28.9305754042869,0.124462167712784,7,0,0,3.26400375366211
6.6228212412995E-07,1.61353726107037E-05,9.80213253904244E-05,6.53224083564869E-07,2.17631274388365E-06,1.12254572717489E-06,6.02,4.57,-28.9305754042869,0.124462167712784,7,0,0,3.28000378608704
2.26535921552932E-05,9.97598559135481E-06,9.60576345807484E-05,1.1432679086213E-06,2.64644805744087E-05,9.63834608643761E-05,5.87,5.22,-28.9305754042869,0.113653409427062,7,0,0,3.48800420761108
