GDLX, GDLY,GDLZ, GDRX, GDRY, GDRZ, PL, PR, HR, GSR, ConationLevel, PredictedConation
1.42614482644773E-07,2.55169665904247E-08,4.50405364828345E-07,1.82646236222965E-07,8.25559056388756E-08,5.00450405364829E-08,5.13,5.47,7.22,0.00111495680374932,4,0
1.42614482644773E-07,2.55169665904247E-08,4.50405364828345E-07,1.82646236222965E-07,8.25559056388756E-08,5.00450405364829E-08,5.13,5.47,7.22,0.00111495680374932,4,0
1.42614482644773E-07,2.55169665904247E-08,4.50405364828345E-07,1.82646236222965E-07,8.25559056388756E-08,5.00450405364829E-08,5.13,5.47,7.22,0.00111495680374932,4,0
1.59610233707007E-07,3.00158418716044E-08,4.50405364828345E-07,2.25138765139567E-07,6.85495008008997E-08,5.00450405364829E-08,5.12,5.48,7.22,0.00111495680374932,4,0
1.80115867858544E-07,3.10195422431023E-08,4.50405364828345E-07,2.73180186607979E-07,8.65728111039381E-08,5.00450405364829E-08,5.11,5.49,7.22,0.00175696691978583,4,0
1.80115867858544E-07,3.10195422431023E-08,4.50405364828345E-07,2.73180186607979E-07,8.65728111039381E-08,5.00450405364829E-08,5.11,5.49,7.22,0.00175696691978583,4,0
1.80115867858544E-07,3.10195422431023E-08,4.50405364828345E-07,2.73180186607979E-07,8.65728111039381E-08,5.00450405364829E-08,5.11,5.49,7.22,0.00175696691978583,4,0
1.98130529931091E-07,2.75164895807785E-08,4.50405364828345E-07,2.06626592711445E-07,1.01585597174907E-07,5.00450405364829E-08,5.11,5.39,7.22,0.00175696691978583,4,0
1.98130529931091E-07,2.75164895807785E-08,4.50405364828345E-07,2.06626592711445E-07,1.01585597174907E-07,5.00450405364829E-08,5.11,5.39,7.22,0.00175696691978583,4,0
2.13133590113536E-07,2.70144136479668E-08,4.50405364828345E-07,2.12123020033685E-07,1.0158719765604E-07,5.00450405364829E-08,5.11,5.39,7.22,0.00175696691978583,4,0
6.30644738687497E-08,1.39558472580785E-06,3.50215127069945E-07,4.27329451272724E-07,7.64083039586888E-07,5.00300180108065E-08,5.17,4.96,7.22,0.00136749393242251,4,0
6.30644738687497E-08,1.39558472580785E-06,3.50215127069945E-07,4.27329451272724E-07,7.64083039586888E-07,5.00300180108065E-08,5.17,4.96,7.22,0.00136749393242251,4,0
1.07109824913484E-07,1.54025495356173E-06,3.00155054983441E-07,4.27329451272724E-07,7.64083039586888E-07,5.00300180108065E-08,5.18,4.96,7.22,0.00136749393242251,4,0
1.80163015676354E-07,1.63132243126372E-06,3.00151549552021E-07,5.03187867650559E-07,9.70243771601802E-07,4.83774650046124E-08,5.25,4.94,7.22,0.00136749393242251,4,0
1.80163015676354E-07,1.63132243126372E-06,3.00151549552021E-07,5.03187867650559E-07,9.70243771601802E-07,4.83774650046124E-08,5.25,4.94,7.22,0.00136749393242251,4,0
1.80163015676354E-07,1.63132243126372E-06,3.00151549552021E-07,5.03187867650559E-07,9.70243771601802E-07,4.83774650046124E-08,5.25,4.94,7.22,0.00136749393242251,4,0
2.07162335298005E-07,1.61381979054199E-06,3.1015180811517E-07,4.90141057082642E-07,9.23318433592279E-07,4.83774650046124E-08,5.28,4.87,7.22,0.00136749393242251,4,0
2.07162335298005E-07,1.61381979054199E-06,3.1015180811517E-07,4.99640236125758E-07,9.12811402021438E-07,4.83774650046124E-08,5.28,4.86,7.22,0.00118760449284268,4,0
2.07162335298005E-07,1.61381979054199E-06,3.1015180811517E-07,4.99640236125758E-07,9.12811402021438E-07,4.83774650046124E-08,5.28,4.86,7.22,0.00118760449284268,4,0
2.16670918068811E-07,1.59179897084835E-06,3.1015180811517E-07,4.99640236125758E-07,9.12811402021438E-07,4.83774650046124E-08,5.29,4.86,7.22,0.00118760449284268,4,0
1.26594050703493E-07,4.563753692098E-07,9.00933369655818E-08,1.67875492400527E-07,3.03817663092786E-07,4.83774650046124E-08,5.29,4.88,7.22,0.00118760449284268,4,0
1.26594050703493E-07,4.563753692098E-07,9.00933369655818E-08,1.67875492400527E-07,3.03817663092786E-07,4.83774650046124E-08,5.29,4.88,7.22,0.00118760449284268,4,0
8.90515524504954E-08,3.85503090855066E-08,1.50012571853769E-08,9.38097526637552E-08,3.74745289934479E-08,5.17126250926978E-08,5.28,4.88,7.22,0.00118760449284268,4,0
8.90515524504954E-08,3.85503090855066E-08,1.50012571853769E-08,9.38097526637552E-08,3.74745289934479E-08,5.17126250926978E-08,5.28,4.88,7.22,0.00118760449284268,4,0
4.70266629235377E-08,2.49936746263728E-08,1.00015114054935E-08,5.57080456054718E-07,1.20326698725548E-06,4.80456433611931E-06,5.27,4.88,7.22,0.00118760449284268,4,0
2.28726634815159E-07,1.09200400322233E-06,4.20234118845356E-07,2.5512046703629E-07,2.00154743415307E-07,5.00200039959925E-08,5.38,4.91,7.22,0.00144347688682978,4,0
2.28726634815159E-07,1.09200400322233E-06,4.20234118845356E-07,2.5512046703629E-07,2.00154743415307E-07,5.00200039959925E-08,5.38,4.91,7.22,0.00144347688682978,4,0
2.28726634815159E-07,1.09200400322233E-06,4.20234118845356E-07,4.53367805344908E-07,6.24167755252911E-07,4.00680905113317E-11,5.38,5.1,7.22,0.00144347688682978,4,0
3.02772664034292E-07,1.31563818373063E-06,3.7520710263563E-07,5.94964775539036E-07,9.05858591576527E-07,5.00700861013179E-08,5.4,5.07,7.22,0.00144347688682978,4,0
3.02772664034292E-07,1.31563818373063E-06,3.7520710263563E-07,5.94964775539036E-07,9.05858591576527E-07,5.00700861013179E-08,5.4,5.07,7.22,0.00144347688682978,4,0
4.09349422902426E-07,1.40473829044131E-06,3.451770726056E-07,5.94964775539036E-07,9.05858591576527E-07,5.00700861013179E-08,5.44,5.07,7.22,-0.00559893268240747,4,0
4.65399269026316E-07,1.42074308851535E-06,3.35171069003439E-07,6.32002213216858E-07,9.21870801505086E-07,5.00700861013179E-08,5.44,5.03,7.22,-0.00559893268240747,4,0
4.65399269026316E-07,1.42074308851535E-06,3.35171069003439E-07,6.32002213216858E-07,9.21870801505086E-07,5.00700861013179E-08,5.44,5.03,7.22,-0.00559893268240747,4,0
4.65399269026316E-07,1.42074308851535E-06,3.35171069003439E-07,6.52532804898239E-07,9.26872779200381E-07,3.00540756973198E-11,5.44,5.02,7.22,-0.00559893268240747,4,0
4.65399269026316E-07,1.42074308851535E-06,3.35171069003439E-07,6.52532804898239E-07,9.26872779200381E-07,3.00540756973198E-11,5.44,5.02,7.22,-0.00559893268240747,4,0
5.12424223207981E-07,1.45224280151522E-06,3.25169814289208E-07,6.52532804898239E-07,9.26872779200381E-07,3.00540756973198E-11,5.45,5.02,7.22,-0.00559893268240747,4,0
4.73880862072664E-07,1.45374737366983E-06,3.20166562175334E-07,6.55527331111668E-07,8.94342014776051E-07,3.00540756973198E-11,5.46,5.07,7.22,0.00157881916510413,4,0
4.73880862072664E-07,1.45374737366983E-06,3.20166562175334E-07,6.55527331111668E-07,8.94342014776051E-07,3.00540756973198E-11,5.46,5.07,7.22,0.00157881916510413,4,0
4.73880862072664E-07,1.45374737366983E-06,3.20166562175334E-07,2.6279063815004E-07,7.14230644981499E-07,1.0009009009731E-07,5.46,5.06,7.22,0.00157881916510413,4,0
9.00145806586093E-09,8.45450978492812E-08,2.50157664770247E-08,6.70530636825036E-07,1.34798190921293E-06,4.7464401698726E-06,5.32,5.05,7.22,0.00102317997490396,4,0
9.00145806586093E-09,8.45450978492812E-08,2.50157664770247E-08,6.70530636825036E-07,1.34798190921293E-06,4.7464401698726E-06,5.32,5.05,7.22,0.00102317997490396,4,0
5.00593043692378E-09,5.49772811330779E-09,4.99925551613421E-09,4.67082856339603E-09,1.66695215194615E-08,1.18910476823114E-09,5.31,5.07,7.22,0.00107561207717758,4,0
5.00593043692378E-09,5.49772811330779E-09,4.99925551613421E-09,4.67082856339603E-09,1.66695215194615E-08,1.18910476823114E-09,5.31,5.07,7.22,0.00107561207717758,4,0
5.00593043692378E-09,5.49772811330779E-09,4.99925551613421E-09,4.67082856339603E-09,1.66695215194615E-08,1.18910476823114E-09,5.31,5.07,7.22,0.00107561207717758,4,0
7.50312882313669E-09,2.90126519754123E-08,5.00425601647657E-09,6.25215781862255E-07,1.3023822428224E-06,4.74429935278356E-06,5.27,4.98,7.22,0.00110111239413793,4,0
7.50312882313669E-09,2.90126519754123E-08,5.00425601647657E-09,6.25215781862255E-07,1.3023822428224E-06,4.74429935278356E-06,5.27,4.98,7.22,0.00110111239413793,4,0
7.50312882313669E-09,2.90126519754123E-08,5.00425601647657E-09,6.25215781862255E-07,1.3023822428224E-06,4.74429935278356E-06,5.27,4.98,7.22,0.00110111239413793,4,0
9.98148972844118E-10,6.30313964346747E-08,2.00090139829195E-08,6.17210578480056E-07,1.30038181833469E-06,4.74429935278356E-06,5.24,4.97,7.22,0.00110111239413793,4,0
9.98148972844118E-10,6.30313964346747E-08,2.00090139829195E-08,6.17210578480056E-07,1.30038181833469E-06,4.74429935278356E-06,5.24,4.97,7.22,0.00110111239413793,4,0
1.50322663346898E-09,7.60378483257558E-08,2.00090139829195E-08,6.13708302000344E-07,1.2958788914322E-06,4.74429935278356E-06,5.22,4.96,7.22,0.00110111239413793,4,0
1.30090095420721E-08,1.05037976236255E-07,3.00105242124647E-08,6.13207726338333E-07,1.30388810202439E-06,4.74429935278356E-06,5.19,4.96,7.22,0.00110111239413793,4,0
1.30090095420721E-08,1.05037976236255E-07,3.00105242124647E-08,6.13207726338333E-07,1.30388810202439E-06,4.74429935278356E-06,5.19,4.96,7.22,0.00110111239413793,4,0
1.85138889473535E-08,1.17047609061423E-07,3.00102737242506E-08,5.41607251209801E-08,7.93650951287072E-08,8.31458488215919E-09,5.16,4.95,7.22,0.00111133202952595,4,0
1.85138889473535E-08,1.17047609061423E-07,3.00102737242506E-08,5.41607251209801E-08,7.93650951287072E-08,8.31458488215919E-09,5.16,4.95,7.22,0.00111133202952595,4,0
2.25158920543035E-08,1.03057824286332E-07,3.00180241164204E-08,5.79107030787106E-09,4.67308961501224E-10,1.66507992478809E-09,5.13,4.97,7.22,0.00111133202952595,4,0
2.25158920543035E-08,1.03057824286332E-07,3.00180241164204E-08,5.79107030787106E-09,4.67308961501224E-10,1.66507992478809E-09,5.13,4.97,7.22,0.00111133202952595,4,0
2.25158920543035E-08,1.03057824286332E-07,3.00180241164204E-08,5.79107030787106E-09,4.67308961501224E-10,1.66507992478809E-09,5.13,4.97,7.22,0.00111133202952595,4,0
2.15154169206418E-08,1.0155965327798E-07,2.50147720025464E-08,1.07943224217451E-08,8.53942120131408E-09,1.66507992478809E-09,5.12,4.97,7.22,0.00111133202952595,4,0
1.04569540316726E-07,5.29828894750254E-07,6.50370324675252E-08,1.46947619732176E-08,3.9515207071164E-08,1.66507992478809E-09,5.17,4.94,7.22,-0.00574009486138242,4,0
1.04569540316726E-07,5.29828894750254E-07,6.50370324675252E-08,1.46947619732176E-08,3.9515207071164E-08,1.66507992478809E-09,5.17,4.94,7.22,-0.00574009486138242,4,0
1.04569540316726E-07,5.29828894750254E-07,6.50370324675252E-08,2.22917704625891E-07,6.39129696956413E-07,1.0175516726466E-07,5.17,5.21,7.22,-0.00574009486138242,4,0
1.4510941247768E-07,1.34768026738004E-06,3.45198599706228E-07,3.16478519155335E-07,9.04301458030569E-07,1.0175516726466E-07,5.03,5.31,7.22,-0.00574009486138242,4,0
1.4510941247768E-07,1.34768026738004E-06,3.45198599706228E-07,3.16478519155335E-07,9.04301458030569E-07,1.0175516726466E-07,5.03,5.31,7.22,-0.00574009486138242,4,0
1.40103806511498E-07,1.4422784677417E-06,3.45198599706228E-07,3.16478519155335E-07,9.04301458030569E-07,1.0175516726466E-07,4.99,5.31,7.22,-0.00574009486138242,4,0
1.35099026610058E-07,1.49581106577958E-06,3.5020260290879E-07,3.97830295402228E-07,1.07239811643175E-06,1.00090087339872E-07,4.97,5.39,7.22,-0.00574009486138242,4,0
1.35099026610058E-07,1.49581106577958E-06,3.5020260290879E-07,3.97830295402228E-07,1.07239811643175E-06,1.00090087339872E-07,4.97,5.39,7.22,-0.00574009486138242,4,0
1.35099026610058E-07,1.49581106577958E-06,3.5020260290879E-07,4.52870700367575E-07,1.0828982497158E-06,1.00090087339872E-07,4.97,5.42,7.22,-0.00574009486138242,4,0
1.32097673708354E-07,1.47829822878843E-06,3.5020260290879E-07,4.76892019645254E-07,1.06938706516368E-06,1.00090087339872E-07,4.97,5.44,7.22,0.0010484289079123,4,0
1.32097673708354E-07,1.47829822878843E-06,3.5020260290879E-07,4.76892019645254E-07,1.06938706516368E-06,1.00090087339872E-07,4.97,5.44,7.22,0.0010484289079123,4,0
1.32097673708354E-07,1.47829822878843E-06,3.5020260290879E-07,4.67413967859294E-07,1.01839749479102E-06,1.00090087339872E-07,4.97,5.45,7.22,0.0010484289079123,4,0
1.45211238383367E-08,1.01599773346647E-06,4.0023512404753E-07,4.30389902216626E-07,8.34775763526272E-07,5.00575662011313E-08,4.98,5.45,7.22,0.0010484289079123,4,0
1.45211238383367E-08,1.01599773346647E-06,4.0023512404753E-07,4.30389902216626E-07,8.34775763526272E-07,5.00575662011313E-08,4.98,5.45,7.22,0.0010484289079123,4,0
1.55134158823421E-08,4.14306689396229E-07,4.50292690248661E-07,4.30389902216626E-07,8.34775763526272E-07,5.00575662011313E-08,4.98,5.45,7.22,0.0010484289079123,4,0
4.63579885601759E-07,1.05492558403167E-07,4.49595364172245E-07,2.93284020880173E-07,1.50004522278229E-07,4.99550404635828E-08,4.94,5.37,7.22,0.00114001866303481,4,0
4.63579885601759E-07,1.05492558403167E-07,4.49595364172245E-07,2.93284020880173E-07,1.50004522278229E-07,4.99550404635828E-08,4.94,5.37,7.22,0.00114001866303481,4,0
4.63579885601759E-07,1.05492558403167E-07,4.49595364172245E-07,2.93284020880173E-07,1.50004522278229E-07,4.99550404635828E-08,4.94,5.37,7.22,0.00114001866303481,4,0
5.22623621772967E-07,1.28505596448135E-07,4.49595364172245E-07,5.5600423769588E-07,1.50003971274369E-07,4.99550404635828E-08,4.94,5.28,7.22,0.00114001866303481,4,0
5.31130452368911E-07,1.31008224207282E-07,4.49595364172245E-07,5.78536890236106E-07,1.50002170732788E-07,4.99550404635828E-08,4.94,5.28,7.22,0.00114001866303481,4,0
5.31130452368911E-07,1.31008224207282E-07,4.49595364172245E-07,5.78536890236106E-07,1.50002170732788E-07,4.99550404635828E-08,4.94,5.28,7.22,0.00114001866303481,4,0
5.35634731434022E-07,1.36511701460041E-07,4.49595364172245E-07,5.75032184354111E-07,1.67017059133888E-07,4.99550404635828E-08,4.93,5.27,7.22,0.00120169696907677,4,0
5.35634731434022E-07,1.36511701460041E-07,4.49595364172245E-07,5.75032184354111E-07,1.67017059133888E-07,4.99550404635828E-08,4.93,5.27,7.22,0.00120169696907677,4,0
5.40638359129829E-07,1.4301627969858E-07,4.49595364172245E-07,5.76033360644225E-07,1.66015006398208E-07,4.99550404635828E-08,4.93,5.27,7.22,0.00120169696907677,4,0
3.80444077733173E-07,1.11984161804557E-07,4.49595364172245E-07,3.05264786375457E-07,8.50483597184898E-09,5.00525551829421E-08,4.92,5.26,7.22,0.00120169696907677,4,0
3.80444077733173E-07,1.11984161804557E-07,4.49595364172245E-07,3.05264786375457E-07,8.50483597184898E-09,5.00525551829421E-08,4.92,5.26,7.22,0.00120169696907677,4,0
2.43085223695743E-07,4.71800950915516E-07,1.0006504227748E-08,2.99128927506578E-07,1.91541526307667E-07,5.00525551829421E-08,4.96,4.75,7.22,0.00125952278128065,4,0
2.43085223695743E-07,4.71800950915516E-07,1.0006504227748E-08,2.99128927506578E-07,1.91541526307667E-07,5.00525551829421E-08,4.96,4.75,7.22,0.00125952278128065,4,0
2.14060850273427E-07,7.08509617430971E-07,5.00700793319682E-09,2.99128927506578E-07,1.91541526307667E-07,5.00525551829421E-08,4.95,4.75,7.22,0.0012868186553482,4,0
1.69574721471949E-07,1.91565487735848E-07,1.14991824318107E-07,1.76426426426426E-06,1.56956956956957E-06,4.4044044044044E-06,4.89,4.59,7.22,0.00134598354459299,4,0
1.35494487768707E-07,2.08994793305018E-07,1.0498281611054E-07,1.49897649448009E-06,2.01371425382217E-06,4.30448434045556E-06,4.89,4.42,7.22,0.00134598354459299,4,0
1.35494487768707E-07,2.08994793305018E-07,1.0498281611054E-07,1.49897649448009E-06,2.01371425382217E-06,4.30448434045556E-06,4.89,4.42,7.22,0.00134598354459299,4,0
1.10509214318552E-07,1.81489890378584E-07,9.9987561602323E-08,1.40487769073616E-06,2.18639556920332E-06,4.25443178527262E-06,4.89,4.37,7.22,0.00134598354459299,4,0
1.30560115820087E-07,2.30106185116933E-07,1.0008006630665E-07,1.34083110574895E-06,2.24043790356716E-06,4.25443178527262E-06,4.87,4.34,7.22,0.00140716423568279,4,0
1.30560115820087E-07,2.30106185116933E-07,1.0008006630665E-07,1.34083110574895E-06,2.24043790356716E-06,4.25443178527262E-06,4.87,4.34,7.22,0.00140716423568279,4,0
1.11032781947854E-07,1.88550116709809E-07,1.0008006630665E-07,1.33732882926924E-06,2.25744896075433E-06,4.25443178527262E-06,4.86,4.34,7.22,0.00140716423568279,4,0
4.19698712340862E-08,5.49294761275482E-08,5.00475451679096E-08,1.33682827866357E-06,2.27346658013565E-06,4.204376724706E-06,4.89,4.36,7.22,0.00140716423568279,4,0
4.19698712340862E-08,5.49294761275482E-08,5.00475451679096E-08,1.33682827866357E-06,2.27346658013565E-06,4.204376724706E-06,4.89,4.36,7.22,0.00140716423568279,4,0
2.94657725990024E-08,2.74198280895567E-08,1.502402916933E-11,1.33782892908634E-06,2.28697536084311E-06,4.204376724706E-06,4.9,4.37,7.22,0.00140716423568279,4,0
2.74710975173158E-08,2.69393310783144E-08,1.502402916933E-11,4.25934459968871E-07,7.3990377359699E-07,2.00027679698406E-07,4.92,4.4,7.22,0.00140716423568279,4,0
2.74710975173158E-08,2.69393310783144E-08,1.502402916933E-11,4.25934459968871E-07,7.3990377359699E-07,2.00027679698406E-07,4.92,4.4,7.22,0.00140716423568279,4,0
4.96280974153948E-10,2.20178995335923E-08,1.502402916933E-11,4.25934459968871E-07,7.3990377359699E-07,2.00027679698406E-07,4.93,4.4,7.22,0.00138178705161125,4,0
