GDLX,GDLY,GDLZ,GDRX,GDRY,GDRZ,PL,PR,HR,GSR,ConationLevel,PredictedConation,GameState,TimeSinceStart
4.03342841415203E-06,3.13266276334885E-06,9.90842215883501E-05,1.19926012665433E-05,1.18224876513815E-05,9.79455863488362E-05,6.09,5.51,-3.57688673531067,-0.120509496291229,6,0,0,2.46400213241577
4.03342841415203E-06,3.13266276334885E-06,9.90842215883501E-05,1.19926012665433E-05,1.18224876513815E-05,9.79455863488362E-05,6.09,5.51,-3.57688673531067,-0.120509496291229,6,0,0,2.4800021648407
8.05354255290639E-06,2.70920215928946E-05,9.51154801878466E-05,2.19248779850123E-06,2.90717440967468E-06,8.99460430878456E-05,6.13,6.06,-3.57688673531067,-0.106078250799981,6,0,0,2.59200239181519
8.05354255290639E-06,2.70920215928946E-05,9.51154801878466E-05,2.19248779850123E-06,2.90717440967468E-06,8.99460430878456E-05,6.13,6.06,-3.57688673531067,-0.106078250799981,6,0,0,2.60800242424011
8.05354255290639E-06,2.70920215928946E-05,9.51154801878466E-05,2.43272803874147E-06,6.44912147412414E-07,8.99460430878456E-05,6.13,6.24,-3.57688673531067,-0.106078250799981,6,0,0,2.62400245666504
4.91666855895527E-06,2.51627493936576E-06,8.86436996651283E-07,5.59335601360816E-06,2.45947568541125E-05,9.67580548328997E-05,5.56,5.68,-3.57688673531067,-0.00993347810672196,6,0,0,4.06400442123413
3.95311319499066E-06,1.13741597174624E-06,5.33155276308937E-07,8.78189176792302E-06,3.10696288779083E-05,9.44999287997376E-05,5.65,5.76,-3.57688673531067,-0.00821182012993238,6,0,0,4.14400339126587
3.95311319499066E-06,1.13741597174624E-06,5.33155276308937E-07,8.78189176792302E-06,3.10696288779083E-05,9.44999287997376E-05,5.65,5.76,-3.57688673531067,-0.00821182012993238,6,0,0,4.16000318527222
1.25025025025025E-05,1.02102102102102E-06,9.90990990990991E-05,1.68601160696418E-05,8.57514508705223E-06,9.82589553732239E-05,5.71,5.82,-3.57688673531067,0.0418929074315899,6,0,0,7.10396528244019
1.25025025025025E-05,1.02102102102102E-06,9.90990990990991E-05,1.68601160696418E-05,8.57514508705223E-06,9.82589553732239E-05,5.71,5.82,-3.57688673531067,0.0418929074315899,6,0,0,7.11996507644653
2.40431638107229E-06,5.08550975732001E-05,8.58895630379162E-05,3.28311896301486E-06,2.39227265902607E-05,9.70922376257445E-05,5.61,5.81,-3.57688673531067,0.0441046317942363,6,0,0,7.43996095657349
2.40431638107229E-06,5.08550975732001E-05,8.58895630379162E-05,3.28311896301486E-06,2.39227265902607E-05,9.70922376257445E-05,5.61,5.81,-3.57688673531067,0.0441046317942363,6,0,0,7.45596075057983
4.90946690313613E-06,5.47817599102136E-05,8.32917711610116E-05,3.79677274316831E-07,3.26622370984663E-05,9.39201678573213E-05,6.05,5.81,-3.57688673531067,0.0441046317942363,6,0,0,7.47196054458618
1.56819815235091E-05,4.52129504411229E-05,8.76239400815116E-05,2.21287025069693E-06,4.94789237200554E-05,8.67130608002893E-05,5.32,5.84,-3.57688673531067,0.0441046317942363,6,0,0,7.48796033859253
1.56819815235091E-05,4.52129504411229E-05,8.76239400815116E-05,2.21287025069693E-06,4.94789237200554E-05,8.67130608002893E-05,5.32,5.84,-3.57688673531067,0.0441046317942363,6,0,0,7.50396013259888
1.42965172474866E-05,4.77373547479564E-05,8.67650231068736E-05,1.05308360002424E-05,4.71458910693991E-05,8.74141722675701E-05,5.38,5.68,-3.57688673531067,0.0444365668802389,6,0,0,7.56795930862427
1.33061096571691E-05,1.33276760382385E-06,1.21830590560644E-06,9.20951467892104E-06,4.85573024808105E-05,8.68135716669695E-05,5.38,5.66,-3.57688673531067,0.0444365668802389,6,0,0,7.58395910263062
1.33061096571691E-05,1.33276760382385E-06,1.21830590560644E-06,9.20951467892104E-06,4.85573024808105E-05,8.68135716669695E-05,5.38,5.66,-3.57688673531067,0.0444365668802389,6,0,0,7.59995889663696
