Gaze 3D position left X, Gaze 3D position left Y, Gaze 3D position left Z, Gaze 3D position right X,Gaze 3D position right Y,Gaze 3D position right Z,Pupil diameter left,Pupil diameter right, HR, GSR, ConationLevel
34.6040123,73.79993362,150.2775513,38.39627991,51.24819336,148.1858643,3.33,2.91,7.14,0.715556756,0
43.34481964,98.85895233,221.9117188,38.39627991,51.24819336,148.1858643,3.09,3.03,7.14,0.715556756,0
49.13306732,128.6844376,292.6421509,38.39627991,51.24819336,148.1858643,3.03,2.93,7.14,0.715556756,0
54.87739258,159.6887741,363.4712036,38.39627991,51.24819336,148.1858643,3.01,2.77,7.14,0.74167962,0
53.78762207,158.9298386,362.9841614,19.19813995,25.7901413,74.3288269,3,2.73,7.14,0.74167962,0
58.45799255,192.2715515,434.9891296,17.76613922,25.62409668,74.09293213,3,2.76,7.14,0.74167962,0
40.69532394,167.508728,361.2978271,0,0,0,2.94,3.25,7.14,0.967793386,0
40.73159409,167.9671326,361.5052979,0,0,0,2.95,3.24,7.14,0.967793386,0
40.73183327,168.1624634,361.5931213,0,0,0,2.95,3.23,7.14,0.933372642,0
30.69540672,136.2476349,288.9838806,0,0,0,2.94,3.09,7.14,0.933372642,0
20.82044678,105.0546448,216.6925232,0,0,0,2.93,3.04,7.14,0.933372642,0
13.72215347,70.95800476,145.2259827,0,0,0,3.15,3.01,7.14,0.933372642,0
6.577291107,36.55949097,73.62269897,0,0,0,3.78,3,7.14,0.961730096,0
6.656095123,36.75172424,73.71019897,0,0,0,3.65,3.17,7.14,0.890163506,0
6.174911499,36.77373047,73.72218628,0,0,0,3.59,3.19,7.14,0.798634536,0
6.171440887,35.91245728,73.32055664,0,0,0,2.59,3.22,7.14,0.798634536,0
14.32212372,65.79631042,146.6652344,0,0,0,2.25,3.23,7.14,0.798634536,0
22.50883751,95.9432373,220.1295593,0,0,0,2.11,3.24,7.14,0.798634536,0
29.53052635,123.5595825,294.768634,0,0,0,2.06,3.24,7.14,0.790657205,0
36.3907486,150.4540894,369.0898254,0,0,0,2.07,3.23,7.14,0.790657205,0
36.25195847,149.9916809,368.8816772,0,0,0,2.03,3.23,7.14,0.790657205,0
36.1597374,149.8311462,368.8102722,0,0,0,2.07,3.22,7.14,0.790657205,0
36.08093338,149.638913,368.7227722,0,0,0,2.1,3.21,7.14,0.790657205,0
30.45974579,116.1091492,296.4699219,0,0,0,2.1,3.21,7.14,0.852805885,0
30.45974579,116.1091492,296.4699219,0,0,0,2.08,3.21,7.14,0.852805885,0
22.27279282,85.76689148,222.9177734,0,0,0,2.08,3.21,7.14,0.852805885,0
14.08583984,55.42463379,149.365625,0,0,0,2.1,3.21,7.14,0.852805885,0
7.042919922,27.71231689,74.6828125,0,0,0,2.08,3.2,7.14,0.852805885,0
0,0,0,0,0,0,2.05,3.2,7.14,0.852805885,0
0,0,0,0,0,0,2.02,3.2,7.14,0.852805885,0
0,0,0,0,0,0,2.01,3.19,7.14,0.895446594,0
0,0,0,0,0,0,2.03,3.19,7.14,0.895446594,0
6.448706818,29.06297607,74.18579712,0,0,0,2.05,3.19,7.14,0.895446594,0
14.23892517,32.00093384,74.5456543,0,0,0,2.04,3.19,7.14,0.895446594,0
16.02045364,34.1573822,75.10544434,0,0,0,2.87,3.19,7.14,0.895446594,0
16.69993286,35.18900757,75.434198,0,0,0,3.18,3.19,7.14,0.895446594,0
16.98681717,35.65768738,75.59338989,0,0,0,3.3,3.19,7.14,0.91294796,0
17.07225952,35.90262146,75.68566284,0,0,0,3.36,3.19,7.14,0.91294796,0
17.34565582,36.15713501,75.76124268,0,0,0,2.64,3.2,7.14,0.91294796,0
21.16238861,39.31070557,76.45637817,0,0,0,3.03,3.21,7.14,0.91294796,0
22.85642395,41.18574982,76.82739868,0,0,0,3.23,3.21,7.14,0.91294796,0
17.04809799,12.8484375,2.764880371,0,0,0,3.32,3.21,7.14,0.91294796,0
9.502542114,10.34473724,2.50123291,0,0,0,3.37,3.21,7.14,0.939629204,0
7.949576569,8.379118347,1.959265137,0,0,0,3.39,3.21,7.14,0.939629204,0
7.293910217,7.437522888,1.664874268,0,0,0,3.38,3.21,7.14,0.939629204,0
7.033138275,6.995709229,1.519793701,0,0,0,3.39,3.21,7.14,0.939629204,0
6.988664246,6.778448486,1.444854736,0,0,0,3.39,3.21,7.14,0.939629204,0
6.752693176,6.579496765,1.395019531,0,0,0,3.39,3.21,7.14,0.939629204,0
2.990966797,3.494419861,0.711431885,0,0,0,3.41,3.21,7.14,0.939629204,0
1.329699707,1.744068909,0.374719238,0,0,0,3.41,3.21,7.14,0.95617025,0
0.712347412,1.130906677,0.283905029,0,0,0,3.43,3.22,7.14,0.95617025,0
0.61031189,0.776956177,0.189031982,0,0,0,3.45,3.03,7.14,0.83620489,0
0.571853638,0.672451782,0.179199219,0,0,0,3.46,2.99,7.14,0.83620489,0
0.796446228,0.642149353,0.172052002,0,0,0,3.47,2.97,7.14,0.83620489,0
18.25343628,24.34002686,74.99240723,0,0,0,3.48,2.97,7.14,0.655162761,0
35.92900848,48.2723053,149.6866821,0,0,0,3.48,2.97,7.14,0.655162761,0
53.60812378,72.17669525,224.3725464,0,0,0,3.49,2.97,7.14,0.655162761,0
71.8217392,94.14721527,299.6143921,0,0,0,3.5,2.98,7.14,0.655162761,0
90.05759277,116.0615356,374.8334778,0,0,0,3.51,2.98,7.14,0.655162761,0
90.03456421,115.9490341,374.8010132,0,0,0,3.52,2.99,7.14,0.655162761,0
89.89193726,115.8687271,374.7996765,0,0,0,3.53,3,7.14,0.655162761,0
89.70183258,115.782402,374.791687,0,0,0,3.53,3,7.14,0.518708928,0
89.45342712,115.7226746,374.7644714,0,0,0,3.54,3.01,7.14,0.518708928,0
71.97032471,91.99793091,299.9300049,0,0,0,3.55,3.02,7.14,0.518708928,0
54.25378418,68.03797913,225.218396,0,0,0,3.55,3.02,7.14,0.518708928,0
36.53724365,44.07802734,150.5067871,0,0,0,3.56,3.03,7.14,0.518708928,0
18.26862183,22.03901367,75.25339355,0,0,0,3.56,3.04,7.14,0.518708928,0
0,0,0,0,0,0,3.56,3.04,7.14,0.56667309,0
0,0,0,0,0,0,3.57,3.04,7.14,0.56667309,0
